Title,internal id link,Alternative title,Resource Type,Creator,Contributor,Genre,Language,Publisher,Date created,Date issued,Date copyrighted,Summary,Description,Staff notes,Format,Extent,Measurements,Repository,Collection,Sub collection,Source,Provenance,Related finding aid,Related URL,Identifier,Call number,Collection identifier,Archival context,Published in,Subject,Keyword,Place (Topic),Time period (Topic),Material,Rights statement,Rights note,Rights holder,License,Access rights,Permanent link
Noyon (Oise) La rue de Paris au fond la cathédrale,https://library.osu.edu/dc/concern/generic_works/vm40xt85f,null,Image,null,null,documentary photographs,fre,null,1915/1918,null,null,"Heavily damaged homes along a street in Noyon France, with a view of the equally damaged cathedral in the background.",Round white sticker affixed with identifier R 5045.,null,lantern slides,8 x 10 cm,null,null,Jeffrey Family Collection of World War I Glass Slides,null,"Digitized from Item 29, Box 4, Jeffrey Family Collection of World War I Glass Slides, Rare Books and Manuscripts Library, The Ohio State University Libraries.",null,https://library.osu.edu/collections/SPEC.RARE.0182/,null,SPEC.RARE.0182.4.29,null,SPEC.RARE.0182,null,null,null,null,France|Hauts-de-France|Noyon,1910s (1910-1919),null,No Copyright - United States,"The Ohio State University Libraries believes this object is in the Public Domain, users are responsible for making a final determination of copyright status before reproducing.",null,null,null,https://hdl.handle.net/1811/e9675cf4-9fe7-4ed3-a998-b5869f817b70
"Douai (Nord) ornements d'église, vêtements, objets d'art, cuivres, prépares par les all et qu'ils n'ont pu emporter",https://library.osu.edu/dc/concern/generic_works/6395w929b,null,Image,null,null,documentary photographs,fre,null,1915/1918,null,null,"Works of art, sculptures, musical instruments and more are piled in a heap outside; decorations from a Douai church that the Germans left behind. ","Square sticker edged with blue lines affixed, no identifier.",null,lantern slides,8 x 10 cm,null,null,Jeffrey Family Collection of World War I Glass Slides,null,"Digitized from Item 28, Box 4, Jeffrey Family Collection of World War I Glass Slides, Rare Books and Manuscripts Library, The Ohio State University Libraries.",null,https://library.osu.edu/collections/SPEC.RARE.0182/,null,SPEC.RARE.0182.4.28,null,SPEC.RARE.0182,null,null,null,null,France|Douai|Hauts-de-France,1910s (1910-1919),null,No Copyright - United States,"The Ohio State University Libraries believes this object is in the Public Domain, users are responsible for making a final determination of copyright status before reproducing.",null,null,null,https://hdl.handle.net/1811/23296019-3e4c-4944-a715-f6e62a2e69cf
Douai (Nord) Une salle du musée saccagee par les allemands,https://library.osu.edu/dc/concern/generic_works/0p0969197,null,Image,null,null,documentary photographs,fre,null,1915/1918,null,null,Destroyed gallery in a museum with many of the works of art taken away.  Few paintings remain among the empty display cases and frames.,"Square sticker edged with blue lines affixed, no identifier.",null,lantern slides,8 x 10 cm,null,null,Jeffrey Family Collection of World War I Glass Slides,null,"Digitized from Item 27, Box 4, Jeffrey Family Collection of World War I Glass Slides, Rare Books and Manuscripts Library, The Ohio State University Libraries.",null,https://library.osu.edu/collections/SPEC.RARE.0182/,null,SPEC.RARE.0182.4.27,null,SPEC.RARE.0182,null,null,null,null,France|Douai|Hauts-de-France,1910s (1910-1919),null,No Copyright - United States,"The Ohio State University Libraries believes this object is in the Public Domain, users are responsible for making a final determination of copyright status before reproducing.",null,null,null,https://hdl.handle.net/1811/33438a05-7395-4c1d-8886-8d75eb116da4
Douai (Nord) Intérieur d'une maison occupée par les allemands,https://library.osu.edu/dc/concern/generic_works/1z40kw362,null,Image,null,null,documentary photographs,fre,null,1915/1918,null,null,Destroyed interior of a home with furniture thrown about. There are several chairs seen through a doorway and a half-length figure of a woman standing upright on the floor. ,"Square sticker edged with blue lines affixed, no identifier.",null,lantern slides,8 x 10 cm,null,null,Jeffrey Family Collection of World War I Glass Slides,null,"Digitized from Item 26, Box 4, Jeffrey Family Collection of World War I Glass Slides, Rare Books and Manuscripts Library, The Ohio State University Libraries.",null,https://library.osu.edu/collections/SPEC.RARE.0182/,null,SPEC.RARE.0182.4.26,null,SPEC.RARE.0182,null,null,null,null,France|Douai|Hauts-de-France,1910s (1910-1919),null,No Copyright - United States,"The Ohio State University Libraries believes this object is in the Public Domain, users are responsible for making a final determination of copyright status before reproducing.",null,null,null,https://hdl.handle.net/1811/296b29cc-4e41-494d-9a64-b88808337952
Douai (Nord) Une chambre occupée par les allemands chez le baron de Warenghien,https://library.osu.edu/dc/concern/generic_works/73666673p,null,Image,null,null,documentary photographs,fre,null,1915/1918,null,null,"A bedroom in ruins, complete with destroyed picture frames, bed and mattress.","Square sticker edged with blue lines affixed, no identifier.",null,lantern slides,8 x 10 cm,null,null,Jeffrey Family Collection of World War I Glass Slides,null,"Digitized from Item 25, Box 4, Jeffrey Family Collection of World War I Glass Slides, Rare Books and Manuscripts Library, The Ohio State University Libraries.",null,https://library.osu.edu/collections/SPEC.RARE.0182/,null,SPEC.RARE.0182.4.25,null,SPEC.RARE.0182,null,null,null,null,France|Douai|Hauts-de-France,1910s (1910-1919),null,No Copyright - United States,"The Ohio State University Libraries believes this object is in the Public Domain, users are responsible for making a final determination of copyright status before reproducing.",null,null,null,https://hdl.handle.net/1811/b451f9fa-bdcd-4626-aff5-7f871abdd196
Douai (Nord) Coffre-fort éventré par les Allemands,https://library.osu.edu/dc/concern/generic_works/nc580p79b,null,Image,null,null,documentary photographs,fre,null,1915/1918,null,null,"A soldier stands in a room behind a damaged safe, its door ripped open by the Germans. ",Round white sticker affixed with identifier LM 565.,null,lantern slides,8 x 10 cm,null,null,Jeffrey Family Collection of World War I Glass Slides,null,"Digitized from Item 23, Box 4, Jeffrey Family Collection of World War I Glass Slides, Rare Books and Manuscripts Library, The Ohio State University Libraries.",null,https://library.osu.edu/collections/SPEC.RARE.0182/,null,SPEC.RARE.0182.4.23,null,SPEC.RARE.0182,null,null,null,null,France|Douai|Hauts-de-France,1910s (1910-1919),null,No Copyright - United States,"The Ohio State University Libraries believes this object is in the Public Domain, users are responsible for making a final determination of copyright status before reproducing.",null,null,null,https://hdl.handle.net/1811/64b311ef-0311-4296-aa2a-8e7a36c9d74b
Cambrai (Nord) Les maisons de la grande place vues du haut de la mairie,https://library.osu.edu/dc/concern/generic_works/1r66j3389,null,Image,null,null,documentary photographs,fre,null,1915/1918,null,null,"View of structures in ruins in the heart of Cambrai, seen from the summit of the city hall.",Round white sticker affixed with identifier Lo 2038.,null,lantern slides,8 x 10 cm,null,null,Jeffrey Family Collection of World War I Glass Slides,null,"Digitized from Item 22, Box 4, Jeffrey Family Collection of World War I Glass Slides, Rare Books and Manuscripts Library, The Ohio State University Libraries.",null,https://library.osu.edu/collections/SPEC.RARE.0182/,null,SPEC.RARE.0182.4.22,null,SPEC.RARE.0182,null,null,null,null,France|Hauts-de-France|Cambrai,1910s (1910-1919),null,No Copyright - United States,"The Ohio State University Libraries believes this object is in the Public Domain, users are responsible for making a final determination of copyright status before reproducing.",null,null,null,https://hdl.handle.net/1811/f34b3e23-ca0b-4d90-a1a3-5c3ded8a3a3d
[Trees Cut Down and Left Behind],https://library.osu.edu/dc/concern/generic_works/9c67wq27w,null,Image,"A.D. Handy, Stereopticons and Supplies (Boston, Ma) ",null,documentary photographs,null,null,1915~/1918~,null,null,Cut down trees and branches lie on the ground on a hill in the foreground with fields seen in the distance below.,Red and white sticker affixed with text AD Handy Up In Boston and identifier 21.|Title supplied by cataloger.,null,lantern slides,8 x 10 cm,null,null,Jeffrey Family Collection of World War I Glass Slides,null,"Digitized from Item 21, Box 4, Jeffrey Family Collection of World War I Glass Slides, Rare Books and Manuscripts Library, The Ohio State University Libraries.",null,https://library.osu.edu/collections/SPEC.RARE.0182/,null,SPEC.RARE.0182.4.21,null,SPEC.RARE.0182,null,null,null,null,France,1910s (1910-1919),null,No Copyright - United States,"The Ohio State University Libraries believes this object is in the Public Domain, users are responsible for making a final determination of copyright status before reproducing.",null,null,null,https://hdl.handle.net/1811/dc799f12-ffe8-45b7-926a-9d32b6f246fb
Douai (Nord) Faïence et oeuvres d'art que les Allemands n'ont pas emporté au moment de leur départ [crossed out] retraite,https://library.osu.edu/dc/concern/generic_works/xg94hr63s,null,Image,null,null,documentary photographs,fre,null,1915/1918,null,null,"Accumulated paintings, vases and sculptures stolen by the Germans which had not yet been moved when they retreated.  Some of the Elgin marbles are included (original reliefs or facsimiles?).","Square sticker edged with blue lines affixed, no identifier.",null,lantern slides,8 x 10 cm,null,null,Jeffrey Family Collection of World War I Glass Slides,null,"Digitized from Item 20, Box 4, Jeffrey Family Collection of World War I Glass Slides, Rare Books and Manuscripts Library, The Ohio State University Libraries.",null,https://library.osu.edu/collections/SPEC.RARE.0182/,null,SPEC.RARE.0182.4.20,null,SPEC.RARE.0182,null,null,null,null,France|Douai|Hauts-de-France,1910s (1910-1919),null,No Copyright - United States,"The Ohio State University Libraries believes this object is in the Public Domain, users are responsible for making a final determination of copyright status before reproducing.",null,null,null,https://hdl.handle.net/1811/7266811b-f292-4f0a-b188-36eb9752eca2
Douai (Nord) Intérieure d'une imprimerie,https://library.osu.edu/dc/concern/generic_works/3t945t03w,null,Image,null,null,documentary photographs,fre,null,1915/1918,null,null,"Destroyed room of a printing house during WWI, with books and machinery covering the floor. There is a ladder in the center and bookshelves lining the walls.  ",Round white stickeraffixed with identifier LM GR8.,null,lantern slides,8 x 10 cm,null,null,Jeffrey Family Collection of World War I Glass Slides,null,"Digitized from Item 2, Box 4, Jeffrey Family Collection of World War I Glass Slides, Rare Books and Manuscripts Library, The Ohio State University Libraries.",null,https://library.osu.edu/collections/SPEC.RARE.0182/,null,SPEC.RARE.0182.4.2,null,SPEC.RARE.0182,null,null,null,null,Hauts-de-France|France|Douai,1910s (1910-1919),null,No Copyright - United States,"The Ohio State University Libraries believes this object is in the Public Domain, users are responsible for making a final determination of copyright status before reproducing.",null,null,null,https://hdl.handle.net/1811/1b622bfc-55d6-45fe-b6e3-78cf79a8616b
Armentières (Nord) ruines de la cathédrale minée par les allemands,https://library.osu.edu/dc/concern/generic_works/j098zd34q,null,Image,null,null,documentary photographs,fre,null,1915/1918,null,null,"Ruins of the cathedral in Armentières , France; a large pile of rubble stands next to the shell of what remains.","Square sticker edged with blue lines affixed, no identifier.",null,lantern slides,8 x 10 cm,null,null,Jeffrey Family Collection of World War I Glass Slides,null,"Digitized from Item 19, Box 4, Jeffrey Family Collection of World War I Glass Slides, Rare Books and Manuscripts Library, The Ohio State University Libraries.",null,https://library.osu.edu/collections/SPEC.RARE.0182/,null,SPEC.RARE.0182.4.19,null,SPEC.RARE.0182,null,null,null,null,France|Hauts-de-France|Armentières ,1910s (1910-1919),null,No Copyright - United States,"The Ohio State University Libraries believes this object is in the Public Domain, users are responsible for making a final determination of copyright status before reproducing.",null,null,null,https://hdl.handle.net/1811/0252e3f1-13a5-47d4-b0c7-99ad6feeeb21
Saint Quentin (Aisne) L'intérieur de la collegiale tes pilliers ont été ruinés par les Allemands,https://library.osu.edu/dc/concern/generic_works/8049g7144,null,Image,null,null,documentary photographs,fre,null,1915/1918,null,null,"A close-up view of the lower level interior of a church in Saint Quentin, with damage to the cluster piers.","Square sticker edged with blue lines affixed, no identifier.",null,lantern slides,8 x 10 cm,null,null,Jeffrey Family Collection of World War I Glass Slides,null,"Digitized from Item 18, Box 4, Jeffrey Family Collection of World War I Glass Slides, Rare Books and Manuscripts Library, The Ohio State University Libraries.",null,https://library.osu.edu/collections/SPEC.RARE.0182/,null,SPEC.RARE.0182.4.18,null,SPEC.RARE.0182,null,null,null,null,France|Hauts-de-France|Saint-Quentin,1910s (1910-1919),null,No Copyright - United States,"The Ohio State University Libraries believes this object is in the Public Domain, users are responsible for making a final determination of copyright status before reproducing.",null,null,null,https://hdl.handle.net/1811/158a4476-fd5b-4863-a120-56088a0df4b0
Courchelettes (Nord) ce qui reste d'un atelier d'ajustage,https://library.osu.edu/dc/concern/generic_works/2801pj731,null,Image,null,null,documentary photographs,fre,null,1915/1918,null,null,"Interior view of a former metal-working shop, with little equipment remaining.","Square sticker edged with blue lines affixed, no identifier.",null,lantern slides,8 x 10 cm,null,null,Jeffrey Family Collection of World War I Glass Slides,null,"Digitized from Item 17, Box 4, Jeffrey Family Collection of World War I Glass Slides, Rare Books and Manuscripts Library, The Ohio State University Libraries.",null,https://library.osu.edu/collections/SPEC.RARE.0182/,null,SPEC.RARE.0182.4.17,null,SPEC.RARE.0182,null,null,null,null,France|Hauts-de-France|Courchelettes,1910s (1910-1919),null,No Copyright - United States,"The Ohio State University Libraries believes this object is in the Public Domain, users are responsible for making a final determination of copyright status before reproducing.",null,null,null,https://hdl.handle.net/1811/0b128d31-fc95-4f6a-b747-4cd07073d373
Lens (Pas de Calais) Les inondations épandues par les allemandes entres les fosses 5 et 7,https://library.osu.edu/dc/concern/generic_works/b8515q87m,null,Image,null,null,documentary photographs,fre,null,1915/1918,null,null,Five trees stand in a flooded field with hills and skeletal structural ruins in the distance. ,"Square sticker edged with blue lines affixed, no identifier.",null,lantern slides,8 x 10 cm,null,null,Jeffrey Family Collection of World War I Glass Slides,null,"Digitized from Item 16, Box 4, Jeffrey Family Collection of World War I Glass Slides, Rare Books and Manuscripts Library, The Ohio State University Libraries.",null,https://library.osu.edu/collections/SPEC.RARE.0182/,null,SPEC.RARE.0182.4.16,null,SPEC.RARE.0182,null,null,null,null,France|Hauts-de-France|Lens,1910s (1910-1919),null,No Copyright - United States,"The Ohio State University Libraries believes this object is in the Public Domain, users are responsible for making a final determination of copyright status before reproducing.",null,null,null,https://hdl.handle.net/1811/7d318d60-622d-4349-8535-bc4013f67afb
Aubigny (Aisne) Sépulture Willot violée par les Allemands,https://library.osu.edu/dc/concern/generic_works/bv73c2553,null,Image,null,null,documentary photographs,fre,null,1915/1918,null,null,"View of three sarcophagi in a cemetery with heavy unadorned lids.  The first lid has been broken, leaving a wide opening.",Round white sticker affixed with identifier V u 3768,null,lantern slides,8 x 10 cm,null,null,Jeffrey Family Collection of World War I Glass Slides,null,"Digitized from Item 15, Box 4, Jeffrey Family Collection of World War I Glass Slides, Rare Books and Manuscripts Library, The Ohio State University Libraries.",null,https://library.osu.edu/collections/SPEC.RARE.0182/,null,SPEC.RARE.0182.4.15,null,SPEC.RARE.0182,null,null,null,null,France,1910s (1910-1919),null,No Copyright - United States,"The Ohio State University Libraries believes this object is in the Public Domain, users are responsible for making a final determination of copyright status before reproducing.",null,null,null,https://hdl.handle.net/1811/8cc86bf0-56ed-41c0-bb99-cf3dcd5df27a
Armentières (Nord) Ruine de la Mairie qui avait été munée par les allemands,https://library.osu.edu/dc/concern/generic_works/gx41mm26v,null,Image,null,null,documentary photographs,fre,null,1915/1918,null,null,"Ruins of a town hall in Armentières, France destroyed by the Germans in World War I. The building is almost completely destroyed, but some archways are still visible. ","White sticker edged with blue lines affixed, no identifier.",null,lantern slides,8 x 10 cm,null,null,Jeffrey Family Collection of World War I Glass Slides,null,"Digitized from Item 14, Box 4, Jeffrey Family Collection of World War I Glass Slides, Rare Books and Manuscripts Library, The Ohio State University Libraries.",null,https://library.osu.edu/collections/SPEC.RARE.0182/,null,SPEC.RARE.0182.4.14,null,SPEC.RARE.0182,null,null,null,null,France|Hauts-de-France|Armentières ,1910s (1910-1919),null,No Copyright - United States,"The Ohio State University Libraries believes this object is in the Public Domain, users are responsible for making a final determination of copyright status before reproducing.",null,null,null,https://hdl.handle.net/1811/4b231d4a-b20c-4f90-904f-64bf3cf34872
Neuilly-Saint Front (Aisne) Hôpital de Campagne encendié,https://library.osu.edu/dc/concern/generic_works/pz50gz53c,null,Image,null,null,documentary photographs,fre,null,1915/1918,null,null,"Site of a field hospital in Neuilly-Saint Front, France burned to the ground. There are two rows of sagging metal bed frames visable surrounded by hills and a farm field. A cart with barrels is seen in the background. ","White sticker edged with blue lines affixed, no identifier.",null,lantern slides,8 x 10 cm,null,null,Jeffrey Family Collection of World War I Glass Slides,null,"Digitized from Item 13, Box 4, Jeffrey Family Collection of World War I Glass Slides, Rare Books and Manuscripts Library, The Ohio State University Libraries.",null,https://library.osu.edu/collections/SPEC.RARE.0182/,null,SPEC.RARE.0182.4.13,null,SPEC.RARE.0182,null,null,null,null,France|Neuilly-Saint-Front|Hauts-de-France,1910s (1910-1919),null,No Copyright - United States,"The Ohio State University Libraries believes this object is in the Public Domain, users are responsible for making a final determination of copyright status before reproducing.",null,null,null,https://hdl.handle.net/1811/5671cd78-370c-4298-92dd-b003c7823efb
Ly-Fontaine (Aisne) Sépultures violée par les Allemands,https://library.osu.edu/dc/concern/generic_works/nc580p77s,null,Image,null,null,documentary photographs,fre,null,1915/1918,null,null,"Tomb monument heavily damaged by Germans in Ly-Fontaine, France during World War I.","White sticker edged with blue lines affixed, no identifier.",null,lantern slides,8 x 10 cm,null,null,Jeffrey Family Collection of World War I Glass Slides,null,"Digitized from Item 12, Box 4, Jeffrey Family Collection of World War I Glass Slides, Rare Books and Manuscripts Library, The Ohio State University Libraries.",null,https://library.osu.edu/collections/SPEC.RARE.0182/,null,SPEC.RARE.0182.4.12,null,SPEC.RARE.0182,null,null,null,null,Hauts-de-France|France|Ly-Fontaine ,1910s (1910-1919),null,No Copyright - United States,"The Ohio State University Libraries believes this object is in the Public Domain, users are responsible for making a final determination of copyright status before reproducing.",null,null,null,https://hdl.handle.net/1811/ac42cd70-187c-46bb-b153-2ce53bbe8bb0
Candor (Oise) Sépultures violées par les allemands,https://library.osu.edu/dc/concern/generic_works/9p290c62d,null,Image,null,null,documentary photographs,fre,null,1915/1918,null,null,"Above-ground tombs raided and pillaged by the Germans in Candor (Oise), France. ","Round white sticker affixed, covered by another square sticker, no identifier.",null,lantern slides,8 x 10 cm,null,null,Jeffrey Family Collection of World War I Glass Slides,null,"Digitized from Item 11, Box 4, Jeffrey Family Collection of World War I Glass Slides, Rare Books and Manuscripts Library, The Ohio State University Libraries.",null,https://library.osu.edu/collections/SPEC.RARE.0182/,null,SPEC.RARE.0182.4.11,null,SPEC.RARE.0182,null,null,null,null,France|Hauts-de-France|Candor ,1910s (1910-1919),null,No Copyright - United States,"The Ohio State University Libraries believes this object is in the Public Domain, users are responsible for making a final determination of copyright status before reproducing.",null,null,null,https://hdl.handle.net/1811/7bbb9789-df39-40e9-b1cd-d8c773d868b8
